Rare biomedical words	Paraphrase
anticoagulation	hindering the clotting of blood
propofol	induce and maintain anesthesia sedation
tamponade	stop bleeding
hyperkalemia	high concentration of potassium in the blood
ketoacidosis	acidosis resulting from increased levels of ketone bodies in the blood
amiodarone	treat life-threatening ventricular arrhythmias
malleolus	tibia at the level of the ankle
psoas	either of two internal muscles of the loin
gastrostomy	the surgical formation of an opening through the abdominal wall into the stomach
adenopathy	any disease enlargement involving glandular tissue
hemiparesis	muscular weakness partial paralysis restricted to one side of the body
lymphadenectomy	surgical removal of a lymph node
hydrops	edema
transesophageal	passing through performed by way of the esophagus
laminectomy	surgical removal of the posterior arch of a vertebra
levofloxacin	a broad-spectrum antibacterial agent that is the levorotatory isomer of ofloxacin
supraglottic	situated occurring above the glottis
nephrolithiasis	a condition marked by the presence of renal calculi
hypoalbuminemia	hypoproteinemia marked by reduction in serum albumins
proctitis	inflammation of the anus and rectum
cardiomegaly	enlargement of the heart
labetalol	treat hypertension
chorioamnionitis	inflammation of the fetal membranes
multinodular	having many nodules
hematemesis	the vomiting of blood
melena	the passage of dark tarry stools containing decomposing blood
anticoagulated	 hindering the clotting of blood
hyperemesis	excessive vomiting
nondiagnostic	not diagnostic
multivessel	affecting more than one blood vessel
extubated	the removal of a tube especially from the larynx after intubation
osa	obstructive sleep apnea
thoracoscopy	examination of the chest and especially the pleural cavity by means of a thoracoscope
orthopnea	difficulty in breathing when lying down and is relieved upon changing to an upright position
ostial	an ostium
macrocephaly	the quality state of being macrocephalous
transbronchial	occurring performed by way of a bronchus
intertrochanteric	situated, performed, occurring between trochanters
aztreonam	a synthetic monobactam antibiotic used especially against gram-negative bacteria
infrarenal	situated occurring below the kidneys
substernal	situated perceived behind below the sternum
gastrinoma	a tumor that often involves blood vessels, usually occurs in the pancreas duodenums
desaturated	to cause to become unsaturated
hemoperitoneum	blood in the peritoneal cavity
opacified	opaque radiopaque
phenoxybenzamine	treats hypertension and sweating due to pheochromocytoma
euvolemic	normovolemia
urosepsis	sepsis caused by an infection originating in the urinary tract
asd	autism spectrum disorder
duodenitis	inflammation of the duodenum
enddiastolic	in the moment immediately preceding contraction of the heart
coumadin	warfarin
akinesis	akinesia
asystolic	a condition of weakening cessation of systole
